id,title,description,score
40,Role understanding,Make sure everyone in the team knows the extent of their role and what is expected from them.,50.0
41,Customer collaboration,Support a collaborative relationship with the customer. Facilitate the exchange of information between the team and the customer.,50.0
42,Smaller offices,Provide smaller offices to achieve uninterrupted work.,50.0
43,Goals self-reflection,Encourage team members to self-reflect about their goals and what are they doing to achieve them in a daily basis.,50.0
44,Rotation reduced workload,New team members often experience an increase in cognitive workload after a job rotation. Reduce the assigned tasks to new members until they are fully adapted to the job.,50.0
45,Cross-role collaboration,Enhance cross-role collaboration.,50.0
48,Goal communication,Help team members understand the goal through intensive communication and participation.,50.0
49,Job rotation reduction,Reduce the frequency of job rotation inside the organization. Frequent job rotation negatively affects the perception of well defined work.,50.0
50,Multitask introduction,Introduce the team members to different tasks. Encourage learning from different areas of expertise and multitask workers.,50.0
51,Challenging tasks distribution,Distribute the tasks in a way that every team member receives a task difficult enough to be challenging but not to be perceived as impossible.,50.0
52,Learning tasks distribution,Distribute the tasks in a way that every team member can acquire useful knowledge for their career from task execution.,50.0
53,Creative tasks distribution,Distribute evenly the tasks that involve creating new solutions for new and challenging problems.,50.0
54,Thought-based communication,"A team with high levels of need for cognition will respond better to thought-based communication, rather than feeling-based communication.",50.0
55,Collaboration incentives,Create incentives for collaboration in the group.,50.0
58,Social influence actions,Social influence depends on the perceived usefulness of people known by an individual towards the new methodology (see Performance expectancy).,50.0
61,Team product ownership,Encourage the team to acknowledge ownership over the product that is being developed. They should be personally responsible for the outcomes related to it.,50.0
62,Knowledge transfer,"When a person or several people move out from a group, they must ensure the next person is able to continue the work.",50.0
63,Transfer reduced workload,"In the situation of knowledge transfer caused by a team member assigned to another project in the same company, reduce workload for the person responsible of transferring the knowledge during the process.",50.0
64,Knowledge registration,"Capture software architecture knowledge during the development process. This can be supported by web-based approaches, dedicated software architecture knowledge management toolsets, and UML-based solutions. Capturing knowledge should be lightweight and efficient.",50.0
65,Knowledge maintenance,The software architecture knowledge captured should be maintained over time and the knowledge history should be tracked.,50.0
66,Knowledge sharing,Share the architecture knowledge captured through a web interface or a wiki.,50.0
67,Knowledge reuse,Separate generic and project-specific knowledge in order to enable knowledge reuse for generic knowledge.,50.0
71,Cognitive recruitment,"Provide cognitive reasoning in recruiting messages. Software professionals are more receptive to cognitive (i.e., thought-based) recruiting messages.",50.0
72,Unemotional recruitment,Avoid devoting resources to create an emotional link between the organization and candidates.,50.0
73,Benefit recruitment,Focus the recruitment process on communicating upon reasons why the organization is attractive to future employees. Advertise work-life benefits.,50.0
74,Cognitive candidates,"Actively look for people that enjoy effortful thinking. People that enjoy effortful thinking (need for cognition) are more probable to have a better performance. People that include high conscientiousness, openness to experience, humility-honesty, and low emotionality, are more probable to also have this personality trait.",50.0
26,Financial resources allocation,"Allocate financial resources that may be used to hire consultants, train people, and assume the temporary deceleration of production sometimes experienced.",25.0
27,Overtime work reduction,Avoid overtime work.,25.0
28,Organizational pressure reduction,"Time pressures are an obstacle for software process improvement. While it might be difficult to avoid when caused by commercial pressure, time pressure caused by company culture or by effort estimation errors should be avoided.",25.0
46,Face-to-face communication,Make sure that face-to-face communication is available for every team member.,25.0
47,Peaceful environment,Discourage attacks against team members that might be caused by poor advices or inadequate explanations.,25.0
56,Product teams,"Organize development teams in product teams. Product teams are usually small and promote skills over roles, self-organization, end-to-end product vision, cross-functionality (multidisciplinary), and have a single leadership over multiple management.",25.0
59,Horizontal DevOps teams,"Instantiate Horizontal DevOps teams through centers of excellence, chapters, and/or platform teams. Centers of excellence and platform teams are external teams that support product teams with platform servicing, and chapters designate people with DevOps skills across different product teams.",25.0
60,Dependency removal,"Remove dependencies with other teams composing the team of T-shaped members, i.e., people experienced in different areas that collaborate with each other, in a way that every skill-set required to have an end-to-end product vision is present in at least one member.",25.0
68,Responsibility training,Train team members to take on more responsibility both in trainings and on the job by gradually granting them more responsibility; staff teams with a mix of experiences and new team members to foster on-the-job learning.,25.0
69,Silos removal,Remove organizational and cultural silos. Any organizational structures that separate skill-sets or unable team self-organization hinder DevOps adoption.,25.0
70,Methodology training,Let team members participate in development programs that train them in coping with the methodology and its challenges.,25.0
3,Transparent tasks,Ensure that all the necessary information related to the team's tasks is always provided and transparent.,0.0
4,Supportive team,"Foster the creation of a healthy and safe environment. The team should be a space where team members are open to talk about private issues, emotions and feelings.",0.0
57,Member empowerment,"Increase the abilities, responsibilities, formal authority, effective capacity and involvement of broadly skilled frontline workers in problem solving, decision making and continuous improvement.",0.0
